persons_num,lga_name17
12639,ALPINE
11757,ARARAT
105438,BALLARAT
129125,BANYULE
34390,BASS COAST
50687,BAW BAW
104274,BAYSIDE
13975,BENALLA
179640,BOROONDARA
207009,BRIMBANK
6206,BULOKE
37602,CAMPASPE
102425,CARDINIA
326820,CASEY
13148,CENTRAL GOLDFIELDS
21432,COLAC-OTWAY
16212,CORANGAMITE
158745,DAREBIN
46142,EAST GIPPSLAND
140739,FRANKSTON
10570,GANNAWARRA
65565,GREATER SHEPPARTON
15629,HEPBURN
5718,HINDMARSH
95078,HOBSONS BAY
19889,HORSHAM
215260,HUME
16335,INDIGO
161056,KINGSTON
161842,KNOX
74921,LATROBE
7507,LODDON
48430,MACEDON RANGES
124262,MANNINGHAM
8797,MANSFIELD
89361,MARIBYRNONG
116332,MAROONDAH
158923,MELBOURNE
148644,MELTON
55151,MILDURA
42910,MITCHELL
29655,MOIRA
196856,MONASH
125415,MOONEE VALLEY
33448,MOORABOOL
176971,MORELAND
163847,MORNINGTON PENINSULA
19298,MOUNT ALEXANDER
16794,MOYNE
14234,MURRINDINDI
64626,NILLUMBIK
11518,NORTHERN GRAMPIANS
110634,PORT PHILLIP
7359,PYRENEES
2960,QUEENSCLIFFE
29324,SOUTH GIPPSLAND
16125,SOUTHERN GRAMPIANS
113737,STONNINGTON
245751,GREATER GEELONG
10485,STRATHBOGIE
31350,SURF COAST
20850,SWAN HILL
6040,TOWONG
28857,WANGARATTA
34571,WARRNAMBOOL
43807,WELLINGTON
3895,WEST WIMMERA
173233,WHITEHORSE
215716,WHITTLESEA
40819,WODONGA
241100,WYNDHAM
95981,YARRA
156891,YARRA RANGES
6684,YARRIAMBIACK
899,UNINCORPORATED VIC
151439,GLEN EIRA
19695,GLENELG
22574,GOLDEN PLAINS
114111,GREATER BENDIGO
163514,GREATER DANDENONG
